locus_tag	ftype	length_bp	gene	EC_number	COG	product
FJKNNBLA_00014	CDS	1113				[gene=insL3] [locus_tag=b2394] [db_xref=UniProtKB/Swiss-Prot:P0CF93] [protein=putative IS186/IS421 transposase] [protein_id=AAC75453.2] [location=2514331..2515443][gbkey=CDS]
FJKNNBLA_00015	CDS	141				hypothetical protein
FJKNNBLA_00016	CDS	153				[gene=hokC] [locus_tag=b4412] [db_xref=UniProtKB/Swiss-Prot:P0ACG4] [protein=protein HokC][protein_id=AAT48122.1] [location=complement(16751..16903)][gbkey=CDS]
FJKNNBLA_00017	CDS	1167				[gene=nhaA] [locus_tag=b0019] [db_xref=UniProtKB/Swiss-Prot:P13738] [protein=Na(+):H(+) antiporter NhaA] [protein_id=AAC73130.1] [location=17489..18655][gbkey=CDS]
FJKNNBLA_00018	CDS	900				[gene=nhaR] [locus_tag=b0020] [db_xref=UniProtKB/Swiss-Prot:P0A9G2] [protein=DNA-binding transcriptional activator NhaR] [protein_id=AAC73131.1] [location=18715..19620][gbkey=CDS]
FJKNNBLA_00019	CDS	960				hypothetical protein
FJKNNBLA_00020	CDS	1146				[gene=yehB] [locus_tag=b2109] [db_xref=UniProtKB/Swiss-Prot:P33341] [protein=putative fimbrial usher protein YehB] [protein_id=AAC75170.1] [location=complement(2188430..2190910)][gbkey=CDS]
FJKNNBLA_00021	CDS	657				hypothetical protein
FJKNNBLA_00022	CDS	276				[gene=insA6] [locus_tag=b3444] [db_xref=UniProtKB/Swiss-Prot:P0CF12] [protein=IS1 protein InsA] [protein_id=AAC76469.1] [location=3583483..3583758][gbkey=CDS]
FJKNNBLA_00023	CDS	378				[gene=insB6] [locus_tag=b3445] [db_xref=UniProtKB/Swiss-Prot:P0CF29] [protein=IS1 protein InsB] [protein_id=AAC76470.1] [location=3583677..3584180][gbkey=CDS]
FJKNNBLA_00024	CDS	351				hypothetical protein
FJKNNBLA_00025	CDS	264				[gene=rpsT] [locus_tag=b0023] [db_xref=UniProtKB/Swiss-Prot:P0A7U7] [protein=30S ribosomal subunit protein S20] [protein_id=AAC73134.1] [location=complement(20815..21078)][gbkey=CDS]
FJKNNBLA_00026	CDS	942				[gene=ribF] [locus_tag=b0025] [db_xref=UniProtKB/Swiss-Prot:P0AG40] [protein=bifunctional riboflavin kinase/FMN adenylyltransferase] [protein_id=AAC73136.1][location=21407..22348] [gbkey=CDS]
FJKNNBLA_00027	CDS	2817				[gene=ileS] [locus_tag=b0026] [db_xref=UniProtKB/Swiss-Prot:P00956] [protein=isoleucine--tRNA ligase] [protein_id=AAC73137.1] [location=22391..25207][gbkey=CDS]
FJKNNBLA_00028	CDS	495				[gene=lspA] [locus_tag=b0027] [db_xref=UniProtKB/Swiss-Prot:P00804] [protein=lipoprotein signal peptidase] [protein_id=AAC73138.1] [location=25207..25701][gbkey=CDS]
FJKNNBLA_00029	CDS	450				[gene=fkpB] [locus_tag=b0028] [db_xref=UniProtKB/Swiss-Prot:P0AEM0] [protein=peptidyl-prolyl cis-trans isomerase FkpB] [protein_id=AAC73139.1] [location=25826..26275][gbkey=CDS]
FJKNNBLA_00030	CDS	951				[gene=ispH] [locus_tag=b0029] [db_xref=UniProtKB/Swiss-Prot:P62623] [protein=1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase] [protein_id=AAC73140.1][location=26277..27227] [gbkey=CDS]
FJKNNBLA_00031	CDS	915				[gene=rihC] [locus_tag=b0030] [db_xref=UniProtKB/Swiss-Prot:P22564] [protein=ribonucleoside hydrolase RihC] [protein_id=AAC73141.1] [location=27293..28207][gbkey=CDS]
FJKNNBLA_00032	CDS	822				[gene=dapB] [locus_tag=b0031] [db_xref=UniProtKB/Swiss-Prot:P04036] [protein=4-hydroxy-tetrahydrodipicolinate reductase] [protein_id=AAC73142.1] [location=28374..29195][gbkey=CDS]
FJKNNBLA_00033	CDS	1149				[gene=carA] [locus_tag=b0032] [db_xref=UniProtKB/Swiss-Prot:P0A6F1] [protein=carbamoyl phosphate synthetase subunit alpha] [protein_id=AAC73143.1] [location=29651..30799][gbkey=CDS]
FJKNNBLA_00034	CDS	3222				[gene=carB] [locus_tag=b0033] [db_xref=UniProtKB/Swiss-Prot:P00968] [protein=carbamoyl phosphate synthetase subunit beta] [protein_id=AAC73144.1] [location=30817..34038][gbkey=CDS]
FJKNNBLA_00035	CDS	396				[gene=caiF] [locus_tag=b0034] [db_xref=UniProtKB/Swiss-Prot:P0AE58] [protein=DNA-binding transcriptional activator CaiF] [protein_id=AAC73145.2] [location=34300..34695][gbkey=CDS]
FJKNNBLA_00036	CDS	591				[gene=caiE] [locus_tag=b0035] [db_xref=UniProtKB/Swiss-Prot:P39206] [protein=putative transferase CaiE] [protein_id=AAC73146.2] [location=complement(34781..35371)][gbkey=CDS]
FJKNNBLA_00037	CDS	786				[gene=caiD] [locus_tag=b0036] [db_xref=UniProtKB/Swiss-Prot:P31551] [protein=crotonobetainyl-CoA hydratase] [protein_id=AAC73147.2] [location=complement(35377..36162)][gbkey=CDS]
FJKNNBLA_00038	CDS	1554				[gene=caiC] [locus_tag=b0037] [db_xref=UniProtKB/Swiss-Prot:P31552] [protein=carnitine--CoA ligase] [protein_id=AAC73148.2] [location=complement(36271..37824)][gbkey=CDS]
FJKNNBLA_00039	CDS	738				[gene=caiB] [locus_tag=b0038] [db_xref=UniProtKB/Swiss-Prot:P31572] [protein=gamma-butyrobetainyl-CoA:carnitine CoA transferase] [protein_id=AAC73149.1][location=complement(37898..39115)] [gbkey=CDS]
FJKNNBLA_00040	CDS	420				[gene=caiB] [locus_tag=b0038] [db_xref=UniProtKB/Swiss-Prot:P31572] [protein=gamma-butyrobetainyl-CoA:carnitine CoA transferase] [protein_id=AAC73149.1][location=complement(37898..39115)] [gbkey=CDS]
FJKNNBLA_00041	CDS	1143				[gene=caiA] [locus_tag=b0039] [db_xref=UniProtKB/Swiss-Prot:P60584] [protein=crotonobetainyl-CoA reductase] [protein_id=AAC73150.1] [location=complement(39244..40386)][gbkey=CDS]
FJKNNBLA_00042	CDS	1515				[gene=caiT] [locus_tag=b0040] [db_xref=UniProtKB/Swiss-Prot:P31553] [protein=L-carnitine:gamma-butyrobetaine antiporter] [protein_id=AAC73151.1] [location=complement(40417..41931)][gbkey=CDS]
FJKNNBLA_00043	CDS	771				[gene=fixA] [locus_tag=b0041] [db_xref=UniProtKB/Swiss-Prot:P60566] [protein=putative electron transfer flavoprotein FixA] [protein_id=AAC73152.2] [location=42403..43173][gbkey=CDS]
FJKNNBLA_00044	CDS	942				[gene=fixB] [locus_tag=b0042] [db_xref=UniProtKB/Swiss-Prot:P31574] [protein=putative electron transfer flavoprotein FixB] [protein_id=AAC73153.1] [location=43188..44129][gbkey=CDS]
FJKNNBLA_00045	CDS	1287				[gene=fixC] [locus_tag=b0043] [db_xref=UniProtKB/Swiss-Prot:P68644] [protein=putative oxidoreductase FixC] [protein_id=AAC73154.1] [location=44180..45466][gbkey=CDS]
FJKNNBLA_00046	CDS	288				[gene=fixX] [locus_tag=b0044] [db_xref=UniProtKB/Swiss-Prot:P68646] [protein=putative ferredoxin FixX] [protein_id=AAC73155.1] [location=45463..45750][gbkey=CDS]
FJKNNBLA_00047	CDS	1332				[gene=yaaU] [locus_tag=b0045] [db_xref=UniProtKB/Swiss-Prot:P31679] [protein=putative transporter YaaU] [protein_id=AAC73156.1] [location=45807..47138][gbkey=CDS]
FJKNNBLA_00048	CDS	531				[gene=kefF] [locus_tag=b0046] [db_xref=UniProtKB/Swiss-Prot:P0A754] [protein=regulator of KefC-mediated potassium transport and quinone oxidoreductase][protein_id=AAC73157.1] [location=47246..47776] [gbkey=CDS]
FJKNNBLA_00049	CDS	1863				[gene=kefC] [locus_tag=b0047] [db_xref=UniProtKB/Swiss-Prot:P03819] [protein=K(+) : H(+)antiporter KefC] [protein_id=AAC73158.1] [location=47769..49631][gbkey=CDS]
FJKNNBLA_00050	CDS	591				[gene=folA] [locus_tag=b0048] [db_xref=UniProtKB/Swiss-Prot:P0ABQ4] [protein=dihydrofolate reductase] [protein_id=AAC73159.1] [location=49823..50302][gbkey=CDS]
FJKNNBLA_00051	CDS	843				[gene=apaH] [locus_tag=b0049] [db_xref=UniProtKB/Swiss-Prot:P05637] [protein=diadenosine tetraphosphatase] [protein_id=AAC73160.1] [location=complement(50380..51222)][gbkey=CDS]
FJKNNBLA_00052	CDS	378				hypothetical protein
FJKNNBLA_00053	CDS	822				[gene=rsmA] [locus_tag=b0051] [db_xref=UniProtKB/Swiss-Prot:P06992] [protein=16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase] [protein_id=AAC73162.1][location=complement(51609..52430)] [gbkey=CDS]
FJKNNBLA_00054	CDS	990				[gene=pdxA] [locus_tag=b0052] [db_xref=UniProtKB/Swiss-Prot:P19624] [protein=4-hydroxythreonine-4-phosphate dehydrogenase] [protein_id=AAC73163.1] [location=complement(52427..53416)][gbkey=CDS]
FJKNNBLA_00055	CDS	1287				[gene=surA] [locus_tag=b0053] [db_xref=UniProtKB/Swiss-Prot:P0ABZ6] [protein=chaperone SurA][protein_id=AAC73164.1] [location=complement(53416..54702)][gbkey=CDS]
FJKNNBLA_00056	CDS	2355				[gene=lptD] [locus_tag=b0054] [db_xref=UniProtKB/Swiss-Prot:P31554] [protein=lipopolysaccharide assembly protein LptD] [protein_id=AAC73165.1] [location=complement(54755..57109)][gbkey=CDS]
FJKNNBLA_00057	CDS	816				[gene=djlA] [locus_tag=b0055] [db_xref=UniProtKB/Swiss-Prot:P31680] [protein=co-chaperone protein DjlA] [protein_id=AAC73166.1] [location=57364..58179][gbkey=CDS]
FJKNNBLA_00058	CDS	660				[gene=rluA] [locus_tag=b0058] [db_xref=UniProtKB/Swiss-Prot:P0AA37] [protein=23S rRNA pseudouridine(746)and tRNA pseudouridine(32) synthase] [protein_id=AAC73169.1][location=complement(59687..60346)] [gbkey=CDS]
FJKNNBLA_00059	CDS	2907				[gene=rapA] [locus_tag=b0059] [db_xref=UniProtKB/Swiss-Prot:P60240] [protein=RNA polymerase-binding ATPase and RNAP recycling factor] [protein_id=AAC73170.1][location=complement(60358..63264)] [gbkey=CDS]
FJKNNBLA_00060	CDS	2352				[gene=polB] [locus_tag=b0060] [db_xref=UniProtKB/Swiss-Prot:P21189] [protein=DNA polymerase II] [protein_id=AAC73171.1] [location=complement(63429..65780)][gbkey=CDS]
FJKNNBLA_00061	CDS	696				[gene=araD] [locus_tag=b0061] [db_xref=UniProtKB/Swiss-Prot:P08203] [protein=L-ribulose-5-phosphate 4-epimerase AraD] [protein_id=AAC73172.1] [location=complement(65855..66550)][gbkey=CDS]
FJKNNBLA_00062	CDS	1503				[gene=araA] [locus_tag=b0062] [db_xref=UniProtKB/Swiss-Prot:P08202] [protein=L-arabinose isomerase] [protein_id=AAC73173.1] [location=complement(66835..68337)][gbkey=CDS]
FJKNNBLA_00063	CDS	1701				[gene=araB] [locus_tag=b0063] [db_xref=UniProtKB/Swiss-Prot:P08204] [protein=ribulokinase][protein_id=AAC73174.1] [location=complement(68348..70048)][gbkey=CDS]
FJKNNBLA_00064	CDS	879				[gene=araC] [locus_tag=b0064] [db_xref=UniProtKB/Swiss-Prot:P0A9E0] [protein=DNA-binding transcriptional dual regulator AraC] [protein_id=AAC73175.1][location=70387..71265] [gbkey=CDS]
FJKNNBLA_00065	CDS	765				[gene=yabI] [locus_tag=b0065] [db_xref=UniProtKB/Swiss-Prot:P30149] [protein=DedA family protein YabI] [protein_id=AAC73176.1] [location=71351..72115][gbkey=CDS]
FJKNNBLA_00066	CDS	699				[gene=thiQ] [locus_tag=b0066] [db_xref=UniProtKB/Swiss-Prot:P31548] [protein=thiamine ABC transporter ATP binding subunit] [protein_id=AAC73177.1] [location=complement(72229..72927)][gbkey=CDS]
FJKNNBLA_00067	CDS	1611				[gene=thiP] [locus_tag=b0067] [db_xref=UniProtKB/Swiss-Prot:P31549] [protein=thiamine ABC transporter membrane subunit] [protein_id=AAC73178.1] [location=complement(72911..74521)][gbkey=CDS]
FJKNNBLA_00068	CDS	984				[gene=thiB] [locus_tag=b0068] [db_xref=UniProtKB/Swiss-Prot:P31550] [protein=thiamine ABC transporter periplasmic binding protein] [protein_id=AAC73179.1][location=complement(74497..75480)] [gbkey=CDS]
FJKNNBLA_00069	CDS	1656				[gene=sgrR] [locus_tag=b0069] [db_xref=UniProtKB/Swiss-Prot:P33595] [protein=DNA-binding transcriptional dual regulator SgrR] [protein_id=AAC73180.1][location=complement(75644..77299)] [gbkey=CDS]
FJKNNBLA_00070	CDS	132				[gene=sgrT] [locus_tag=b4662] [db_xref=UniProtKB/Swiss-Prot:C1P5Z7] [protein=PtsG glucose transporter inhibitor] [protein_id=ACO59989.1] [location=77388..77519][gbkey=CDS]
FJKNNBLA_00071	CDS	1179				[gene=setA] [locus_tag=b0070] [db_xref=UniProtKB/Swiss-Prot:P31675] [protein=sugar exporter SetA] [protein_id=AAT48123.1] [location=77621..78799] [gbkey=CDS]
FJKNNBLA_00072	CDS	606				[gene=leuD] [locus_tag=b0071] [db_xref=UniProtKB/Swiss-Prot:P30126] [protein=3-isopropylmalate dehydratase subunit LeuD] [protein_id=AAC73182.1] [location=complement(78848..79453)][gbkey=CDS]
FJKNNBLA_00073	CDS	1401				[gene=leuC] [locus_tag=b0072] [db_xref=UniProtKB/Swiss-Prot:P0A6A6] [protein=3-isopropylmalate dehydratase subunit LeuC] [protein_id=AAC73183.1] [location=complement(79464..80864)][gbkey=CDS]
FJKNNBLA_00074	CDS	1092				[gene=leuB] [locus_tag=b0073] [db_xref=UniProtKB/Swiss-Prot:P30125] [protein=3-isopropylmalate dehydrogenase] [protein_id=AAC73184.2] [location=complement(80867..81958)][gbkey=CDS]
FJKNNBLA_00075	CDS	1572				[gene=leuA] [locus_tag=b0074] [db_xref=UniProtKB/Swiss-Prot:P09151] [protein=2-isopropylmalate synthase] [protein_id=AAC73185.1] [location=complement(81958..83529)][gbkey=CDS]
FJKNNBLA_00076	CDS	945				[gene=leuO] [locus_tag=b0076] [db_xref=UniProtKB/Swiss-Prot:P10151] [protein=DNA-binding transcriptional dual regulator LeuO] [protein_id=AAC73187.2][location=84368..85312] [gbkey=CDS]
FJKNNBLA_00077	CDS	1725				[gene=ilvI] [locus_tag=b0077] [db_xref=UniProtKB/Swiss-Prot:P00893] [protein=acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit][protein_id=AAC73188.2] [location=85630..87354] [gbkey=CDS]
FJKNNBLA_00078	CDS	492				[gene=ilvH] [locus_tag=b0078] [db_xref=UniProtKB/Swiss-Prot:P00894] [protein=acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit][protein_id=AAC73189.1] [location=87357..87848] [gbkey=CDS]
FJKNNBLA_00079	CDS	1005				[gene=cra] [locus_tag=b0080] [db_xref=UniProtKB/Swiss-Prot:P0ACP1] [protein=DNA-binding transcriptional dual regulator Cra] [protein_id=AAC73191.1] [location=88028..89032][gbkey=CDS]
FJKNNBLA_00080	CDS	459				[gene=mraZ] [locus_tag=b0081] [db_xref=UniProtKB/Swiss-Prot:P22186] [protein=DNA-binding transcriptional repressor MraZ] [protein_id=AAC73192.1] [location=89634..90092][gbkey=CDS]
FJKNNBLA_00081	CDS	942				[gene=rsmH] [locus_tag=b0082] [db_xref=UniProtKB/Swiss-Prot:P60390] [protein=16S rRNA m(4)C1402 methyltransferase] [protein_id=AAC73193.1] [location=90094..91035][gbkey=CDS]
FJKNNBLA_00082	CDS	366				[gene=ftsL] [locus_tag=b0083] [db_xref=UniProtKB/Swiss-Prot:P0AEN4] [protein=cell division protein FtsL] [protein_id=AAC73194.1] [location=91032..91397][gbkey=CDS]
FJKNNBLA_00083	CDS	1767				[gene=ftsI] [locus_tag=b0084] [db_xref=UniProtKB/Swiss-Prot:P0AD68] [protein=peptidoglycan DD-transpeptidase FtsI] [protein_id=AAC73195.1] [location=91413..93179][gbkey=CDS]
FJKNNBLA_00084	CDS	1488				[gene=murE] [locus_tag=b0085] [db_xref=UniProtKB/Swiss-Prot:P22188] [protein=UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase] [protein_id=AAC73196.1][location=93166..94653] [gbkey=CDS]
FJKNNBLA_00085	CDS	1359				[gene=murF] [locus_tag=b0086] [db_xref=UniProtKB/Swiss-Prot:P11880] [protein=D-alanyl-D-alanine-adding enzyme] [protein_id=AAC73197.1] [location=94650..96008][gbkey=CDS]
FJKNNBLA_00086	CDS	1083				[gene=mraY] [locus_tag=b0087] [db_xref=UniProtKB/Swiss-Prot:P0A6W3] [protein=phospho-N-acetylmuramoyl-pentapeptide-transferase][protein_id=AAC73198.1][location=96002..97084] [gbkey=CDS]
FJKNNBLA_00087	CDS	1317				[gene=murD] [locus_tag=b0088] [db_xref=UniProtKB/Swiss-Prot:P14900] [protein=UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase] [protein_id=AAC73199.1][location=97087..98403] [gbkey=CDS]
FJKNNBLA_00088	CDS	1245				[gene=ftsW] [locus_tag=b0089] [db_xref=UniProtKB/Swiss-Prot:P0ABG4] [protein=essential cell division protein FtsW] [protein_id=AAC73200.1] [location=98403..99647][gbkey=CDS]
FJKNNBLA_00089	CDS	1068				[gene=murG] [locus_tag=b0090] [db_xref=UniProtKB/Swiss-Prot:P17443] [protein=N-acetylglucosaminyl transferase] [protein_id=AAC73201.1] [location=99644..100711][gbkey=CDS]
FJKNNBLA_00090	CDS	1476				[gene=murC] [locus_tag=b0091] [db_xref=UniProtKB/Swiss-Prot:P17952] [protein=UDP-N-acetylmuramate--L-alanine ligase] [protein_id=AAC73202.1] [location=100765..102240][gbkey=CDS]
FJKNNBLA_00091	CDS	921				[gene=ddlB] [locus_tag=b0092] [db_xref=UniProtKB/Swiss-Prot:P07862] [protein=D-alanine--D-alanine ligase B] [protein_id=AAC73203.1] [location=102233..103153][gbkey=CDS]
FJKNNBLA_00092	CDS	831				[gene=ftsQ] [locus_tag=b0093] [db_xref=UniProtKB/Swiss-Prot:P06136] [protein=cell division protein FtsQ] [protein_id=AAC73204.1] [location=103155..103985][gbkey=CDS]
FJKNNBLA_00093	CDS	1263				[gene=ftsA] [locus_tag=b0094] [db_xref=UniProtKB/Swiss-Prot:P0ABH0] [protein=cell division protein FtsA] [protein_id=AAC73205.1] [location=103982..105244][gbkey=CDS]
FJKNNBLA_00094	CDS	1152				[gene=ftsZ] [locus_tag=b0095] [db_xref=UniProtKB/Swiss-Prot:P0A9A6] [protein=cell division protein FtsZ] [protein_id=AAC73206.1] [location=105305..106456][gbkey=CDS]
FJKNNBLA_00095	CDS	918				[gene=lpxC] [locus_tag=b0096] [db_xref=UniProtKB/Swiss-Prot:P0A725] [protein=UDP-3-O-acyl-N-acetylglucosamine deacetylase] [protein_id=AAC73207.1] [location=106557..107474][gbkey=CDS]
FJKNNBLA_00096	CDS	588				[gene=secM] [locus_tag=b0097] [db_xref=UniProtKB/Swiss-Prot:P62395] [protein=SecA translation regulator] [protein_id=AAC73208.2] [location=107705..108217][gbkey=CDS]
FJKNNBLA_00097	CDS	2706				[gene=secA] [locus_tag=b0098] [db_xref=UniProtKB/Swiss-Prot:P10408] [protein=protein translocation ATPase] [protein_id=AAC73209.1] [location=108279..110984][gbkey=CDS]
FJKNNBLA_00098	CDS	390				[gene=mutT] [locus_tag=b0099] [db_xref=UniProtKB/Swiss-Prot:P08337] [protein=8-oxo-dGTP diphosphatase] [protein_id=AAC73210.1] [location=111044..111433][gbkey=CDS]
FJKNNBLA_00099	CDS	198				[gene=yacG] [locus_tag=b0101] [db_xref=UniProtKB/Swiss-Prot:P0A8H8] [protein=DNA gyrase inhibitor YacG] [protein_id=AAC73212.1] [location=complement(111649..111846)][gbkey=CDS]
FJKNNBLA_00100	CDS	744				[gene=zapD] [locus_tag=b0102] [db_xref=UniProtKB/Swiss-Prot:P36680] [protein=cell division factor ZapD] [protein_id=AAC73213.1] [location=complement(111856..112599)][gbkey=CDS]
FJKNNBLA_00101	CDS	621				[gene=coaE] [locus_tag=b0103] [db_xref=UniProtKB/Swiss-Prot:P0A6I9] [protein=dephospho-CoA kinase] [protein_id=AAC73214.1] [location=complement(112599..113219)][gbkey=CDS]
FJKNNBLA_00102	CDS	1044				[gene=guaC] [locus_tag=b0104] [db_xref=UniProtKB/Swiss-Prot:P60560] [protein=GMP reductase][protein_id=AAC73215.1] [location=113444..114487] [gbkey=CDS]
FJKNNBLA_00103	CDS	1203				[gene=hofC] [locus_tag=b0106] [db_xref=UniProtKB/Swiss-Prot:P36646] [protein=inner membrane protein HofC] [protein_id=AAC73217.1] [location=complement(114522..115724)][gbkey=CDS]
FJKNNBLA_00104	CDS	1386				[gene=hofB] [locus_tag=b0107] [db_xref=UniProtKB/Swiss-Prot:P36645] [protein=T2SSE family protein] [protein_id=AAC73218.1] [location=complement(115714..117099)][gbkey=CDS]
FJKNNBLA_00105	CDS	441				hypothetical protein
FJKNNBLA_00106	CDS	894				[gene=nadC] [locus_tag=b0109] [db_xref=UniProtKB/Swiss-Prot:P30011] [protein=quinolinate phosphoribosyltransferase (decarboxylating)] [protein_id=AAC73220.1][location=complement(117752..118645)] [gbkey=CDS]
FJKNNBLA_00107	CDS	552				[gene=ampD] [locus_tag=b0110] [db_xref=UniProtKB/Swiss-Prot:P13016] [protein=1,6-anhydro-N-acetylmuramoyl-L-alanine amidase] [protein_id=AAC73221.1][location=118733..119284] [gbkey=CDS]
FJKNNBLA_00108	CDS	855				[gene=ampE] [locus_tag=b0111] [db_xref=UniProtKB/Swiss-Prot:P0AE14] [protein=protein AmpE][protein_id=AAC73222.1] [location=119281..120135] [gbkey=CDS]
FJKNNBLA_00109	CDS	1371				[gene=aroP] [locus_tag=b0112] [db_xref=UniProtKB/Swiss-Prot:P15993] [protein=aromatic amino acid:H(+) symporter AroP] [protein_id=AAC73223.1] [location=complement(120178..121551)][gbkey=CDS]
FJKNNBLA_00110	CDS	765				[gene=pdhR] [locus_tag=b0113] [db_xref=UniProtKB/Swiss-Prot:P0ACL9] [protein=DNA-binding transcriptional dual regulator PdhR] [protein_id=AAC73224.1][location=122092..122856] [gbkey=CDS]
FJKNNBLA_00111	CDS	2664				[gene=aceE] [locus_tag=b0114] [db_xref=UniProtKB/Swiss-Prot:P0AFG8] [protein=pyruvate dehydrogenase E1 component] [protein_id=AAC73225.1] [location=123017..125680][gbkey=CDS]
FJKNNBLA_00112	CDS	1893				[gene=aceF] [locus_tag=b0115] [db_xref=UniProtKB/Swiss-Prot:P06959] [protein=pyruvate dehydrogenase,E2 subunit] [protein_id=AAC73226.1] [location=125695..127587][gbkey=CDS]
FJKNNBLA_00113	CDS	1425				[gene=lpd] [locus_tag=b0116] [db_xref=UniProtKB/Swiss-Prot:P0A9P0] [protein=lipoamide dehydrogenase][protein_id=AAC73227.1] [location=127912..129336][gbkey=CDS]
FJKNNBLA_00114	CDS	1854				hypothetical protein
FJKNNBLA_00115	CDS	2598				[gene=acnB] [locus_tag=b0118] [db_xref=UniProtKB/Swiss-Prot:P36683] [protein=hypothetical protein] [protein_id=AAC73229.1] [location=131615..134212][gbkey=CDS]
FJKNNBLA_00116	CDS	363				hypothetical protein
FJKNNBLA_00117	CDS	795				[gene=speD] [locus_tag=b0120] [db_xref=UniProtKB/Swiss-Prot:P0A7F6] [protein=S-adenosylmethionine decarboxylase proenzyme] [protein_id=AAC73231.1] [location=complement(134788..135582)][gbkey=CDS]
FJKNNBLA_00118	CDS	867				[gene=speE] [locus_tag=b0121] [db_xref=UniProtKB/Swiss-Prot:P09158] [protein=spermidine synthase] [protein_id=AAC73232.1] [location=complement(135598..136464)][gbkey=CDS]
FJKNNBLA_00119	CDS	309				[gene=yacC] [locus_tag=b0122] [db_xref=UniProtKB/Swiss-Prot:P0AA95] [protein=putative lipoprotein YacC] [protein_id=AAC73233.2] [location=complement(136570..136917)][gbkey=CDS]
FJKNNBLA_00120	CDS	1551				[gene=cueO] [locus_tag=b0123] [db_xref=UniProtKB/Swiss-Prot:P36649] [protein=multicopper oxidase CueO] [protein_id=AAC73234.1] [location=137083..138633][gbkey=CDS]
FJKNNBLA_00121	CDS	2391				[gene=gcd] [locus_tag=b0124] [db_xref=UniProtKB/Swiss-Prot:P15877] [protein=quinoprotein glucose dehydrogenase] [protein_id=AAC73235.1] [location=complement(138835..141225)][gbkey=CDS]
FJKNNBLA_00122	CDS	537				[gene=hpt] [locus_tag=b0125] [db_xref=UniProtKB/Swiss-Prot:P0A9M2] [protein=hypoxanthine phosphoribosyltransferase] [protein_id=AAC73236.2] [location=141431..141967][gbkey=CDS]
FJKNNBLA_00123	CDS	663				[gene=can] [locus_tag=b0126] [db_xref=UniProtKB/Swiss-Prot:P61517] [protein=carbonic anhydrase 2] [protein_id=AAC73237.1] [location=complement(142008..142670)][gbkey=CDS]
